 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_18,406,247.877014160,31.991376877,10.189205170,1,1,YES,2,0,1496.534301758,5174.860839844,38.311277157,21.196229946
2,cell_19,795,245.561203003,121.600532532,11.374933879,1,1,YES,2,0,2991.150390625,14877.149414062,76.573448066,60.936803846
3,cell_20,503,128.318420410,409.465789795,10.097835541,1,1,YES,2,0,1855.842163086,7191.421386719,47.509558175,29.456061926
1,cell_17,506,249.763992310,140.591613770,10.612217585,1,1,YES,2,0,1899.582031250,7508.195312500,48.629298772,30.753567922
1,cell_13,627,64.795860291,199.447814941,11.835084279,1,1,YES,2,0,2348.336425781,9567.040039062,60.117410981,39.186595901
2,cell_14,473,258.827941895,119.312377930,10.372137070,1,1,YES,2,0,1735.536499023,6416.533691406,44.429733253,26.282121934
3,cell_15,558,251.761428833,193.260070801,12.430486043,1,1,YES,2,0,2056.449707031,8065.189941406,52.645111170,33.035017917
4,cell_16,850,162.475723267,360.574310303,11.551895777,1,1,YES,2,0,3177.931640625,15365.656250000,81.355047945,62.937727841
1,cell_9,548,209.427566528,157.697174072,11.056409836,1,1,YES,2,0,2041.514038086,8383.312500000,52.262758055,34.338047913
2,cell_10,673,343.289764404,163.034957886,11.546986898,1,1,YES,2,0,2473.254150391,11147.996093750,63.315304651,45.662191885
3,cell_11,443,417.331024170,232.784881592,12.705347697,1,1,YES,2,0,1673.537475586,5809.666015625,42.842558293,23.796391940
4,cell_12,320,231.278839111,423.654724121,9.491242727,1,1,YES,2,0,1188.838012695,3652.230224609,30.434252356,14.959534962
1,cell_5,784,46.824157715,152.000701904,8.452089310,1,1,YES,2,0,2885.979492188,13157.931640625,73.881073134,53.894887864
2,cell_6,887,137.848556519,478.682464600,9.613236745,1,1,YES,2,0,3319.603271484,15915.530273438,84.981841603,65.190011835
3,cell_7,926,348.186248779,401.619232178,7.557452520,1,1,YES,2,0,3471.499511719,16865.666015625,88.870385255,69.081767826
4,cell_8,440,486.352142334,202.889801025,9.983447393,1,1,YES,2,0,1653.132324219,6080.765625000,42.320186431,24.906815937
