 ,Cell Name,Number of Surfels,Center X,Center Y,Center Z,Frame,Channel,Mesh ?,Euler characteristic,Free edges,Surface,Volume,Real Surface,Real Volume
1,cell_3,2580,370.650024414,292.800781250,10.324599584,1,1,YES,1,0,9629.202148438,46892.371093750,246.507568773,192.071151515
2,cell_4,1329,113.474334717,43.991550446,11.124802907,1,1,YES,2,0,4978.352050781,19116.537109375,127.445809280,78.301335802
3,cell_5,1255,289.924682617,343.758300781,11.198440552,1,1,YES,2,0,4664.374511719,17588.884765625,119.407984484,72.044071818
4,cell_6,1245,201.259811401,470.806823730,11.113419215,1,1,YES,2,0,4651.464843750,18917.373046875,119.077496992,77.485559804
1,cell_1,1063,481.710876465,420.019897461,14.954606374,1,1,YES,2,0,3928.011718750,14559.117187500,100.557097460,59.634143849
1,cell_0,807,470.040771484,317.765686035,13.056878408,1,1,YES,1,0,3004.227050781,9744.994140625,76.908210557,39.915495899
1,cell_0,1088,274.290252686,226.323379517,14.144636790,1,1,YES,2,0,4120.080566406,16616.849609375,105.474059836,68.062615828
1,cell_0,819,184.269683838,20.968194962,14.787829081,1,1,YES,2,0,3031.026611328,9751.765625000,77.594279290,39.943231899
1,cell_1,2202,395.953765869,79.089286804,8.910100937,1,1,YES,2,0,8216.711914062,36691.105468750,210.347819686,150.286767621
2,cell_4,1390,297.103576660,174.092529297,11.394703547,1,1,YES,1,0,5187.473144531,20908.718750000,132.799309145,85.642111784
3,cell_6,1335,122.556602478,445.906555176,11.328847885,1,1,YES,2,0,4982.652343750,19594.498046875,127.555896778,80.259063797
